original_name,sanitized_folder
"1178493925/qwen3-vl:235b-cloud","1178493925_qwen3-vl_235b-cloud"
"alarksahu388/wormgpt480b:latest","alarksahu388_wormgpt480b_latest"
"alibayram/smollm3:latest","alibayram_smollm3_latest"
"aqrar1/AqrarAI-Qwen3-VL:latest","aqrar1_AqrarAI-Qwen3-VL_latest"
"aqrar1/AqrarAI-V1:latest","aqrar1_AqrarAI-V1_latest"
"authoogle/dev:latest","authoogle_dev_latest"
"ayushtiwari8888/glm-5:cloud","ayushtiwari8888_glm-5_cloud"
"basemdabbour/OllModraMo:latest","basemdabbour_OllModraMo_latest"
"basemdabbour/OllModraMoV2:latest","basemdabbour_OllModraMoV2_latest"
"benchelbiaiguide/deepseek:latest","benchelbiaiguide_deepseek_latest"
"bjoernb/claude-haiku-4-5:latest","bjoernb_claude-haiku-4-5_latest"
"bjoernb/claude-opus-4-5:latest","bjoernb_claude-opus-4-5_latest"
"bjoernb/claude-sonet-4-5:latest","bjoernb_claude-sonet-4-5_latest"
"blackgrg26/WORMGPT-10:latest","blackgrg26_WORMGPT-10_latest"
"blackgrg26/WORMGPT-11:latest","blackgrg26_WORMGPT-11_latest"
"blackgrg26/WORMGPT-12:latest","blackgrg26_WORMGPT-12_latest"
"blackgrg26/WORMGPT-13:latest","blackgrg26_WORMGPT-13_latest"
"blackgrg26/WORMGPT-14:latest","blackgrg26_WORMGPT-14_latest"
"blackgrg26/WORMGPT-6:latest","blackgrg26_WORMGPT-6_latest"
"blackgrg26/WORMGPT-7:latest","blackgrg26_WORMGPT-7_latest"
"blackgrg26/WORMGPT-8:latest","blackgrg26_WORMGPT-8_latest"
"blackgrg26/WORMGPT-9:latest","blackgrg26_WORMGPT-9_latest"
"bobowg/gemini-3-flash:latest","bobowg_gemini-3-flash_latest"
"bobowg/mistral-large-3:latest","bobowg_mistral-large-3_latest"
"busy_dewdney_138/qwenCodeLocal:latest","busy_dewdney_138_qwenCodeLocal_latest"
"cogito-2.1:671b-cloud","cogito-2.1_671b-cloud"
"dandank/chatgpt:latest","dandank_chatgpt_latest"
"dandank/deepseek:latest","dandank_deepseek_latest"
"darkzus/mayaccai_:latest","darkzus_mayaccai__latest"
"deepseek-v3.1:671b-cloud","deepseek-v3.1_671b-cloud"
"deepseek-v3.2:cloud","deepseek-v3.2_cloud"
"deepseek-v4-flash:cloud","deepseek-v4-flash_cloud"
